entidad,anio_mes,visitas,entidad_federativa,fecha,entidad_etq
Aguascalientes,2015-01,28,Aguascalientes,01/01/2015,Aguascalientes
Baja California,2015-01,324,Baja California,01/01/2015,Baja California
Baja California Sur,2015-01,79,Baja California Sur,01/01/2015,Baja California Sur
Campeche,2015-01,18,Campeche,01/01/2015,Campeche
Chiapas,2015-01,47,Chiapas,01/01/2015,Chiapas
Chihuahua,2015-01,55,Chihuahua,01/01/2015,Chihuahua
Coahuila de Zaragoza,2015-01,56,Coahuila,01/01/2015,Coahuila
Colima,2015-01,47,Colima,01/01/2015,Colima
Ciudad de México,2015-01,44,Ciudad de México,01/01/2015,Ciudad de México
Durango,2015-01,22,Durango,01/01/2015,Durango
México,2015-01,53,México,01/01/2015,Estado de México
Guanajuato,2015-01,15,Guanajuato,01/01/2015,Guanajuato
Guerrero,2015-01,86,Guerrero,01/01/2015,Guerrero
Hidalgo,2015-01,66,Hidalgo,01/01/2015,Hidalgo
Jalisco,2015-01,93,Jalisco,01/01/2015,Jalisco
Michoacán de Ocampo,2015-01,39,Michoacán,01/01/2015,Michoacán
Morelos,2015-01,51,Morelos,01/01/2015,Morelos
Nayarit,2015-01,55,Nayarit,01/01/2015,Nayarit
Nuevo León,2015-01,50,Nuevo León,01/01/2015,Nuevo León
Oaxaca,2015-01,25,Oaxaca,01/01/2015,Oaxaca
Puebla,2015-01,57,Puebla,01/01/2015,Puebla
Querétaro,2015-01,23,Querétaro,01/01/2015,Querétaro
Quintana Roo,2015-01,138,Quintana Roo,01/01/2015,Quintana Roo
San Luis Potosí,2015-01,24,San Luis Potosí,01/01/2015,San Luis Potosí
Sinaloa,2015-01,49,Sinaloa,01/01/2015,Sinaloa
Sonora,2015-01,65,Sonora,01/01/2015,Sonora
Tabasco,2015-01,74,Tabasco,01/01/2015,Tabasco
Tamaulipas,2015-01,136,Tamaulipas,01/01/2015,Tamaulipas
Tlaxcala,2015-01,12,Tlaxcala,01/01/2015,Tlaxcala
Veracruz de Ignacio de la Llave,2015-01,41,Veracruz,01/01/2015,Veracruz
Yucatán,2015-01,56,Yucatán,01/01/2015,Yucatán
Zacatecas,2015-01,22,Zacatecas,01/01/2015,Zacatecas
Aguascalientes,2015-02,34,Aguascalientes,01/02/2015,Aguascalientes
Baja California,2015-02,356,Baja California,01/02/2015,Baja California
Baja California Sur,2015-02,51,Baja California Sur,01/02/2015,Baja California Sur
Campeche,2015-02,40,Campeche,01/02/2015,Campeche
Chiapas,2015-02,67,Chiapas,01/02/2015,Chiapas
Chihuahua,2015-02,61,Chihuahua,01/02/2015,Chihuahua
Coahuila de Zaragoza,2015-02,85,Coahuila,01/02/2015,Coahuila
Colima,2015-02,40,Colima,01/02/2015,Colima
Ciudad de México,2015-02,56,Ciudad de México,01/02/2015,Ciudad de México
Durango,2015-02,25,Durango,01/02/2015,Durango
México,2015-02,49,México,01/02/2015,Estado de México
Guanajuato,2015-02,19,Guanajuato,01/02/2015,Guanajuato
Guerrero,2015-02,53,Guerrero,01/02/2015,Guerrero
Hidalgo,2015-02,82,Hidalgo,01/02/2015,Hidalgo
Jalisco,2015-02,127,Jalisco,01/02/2015,Jalisco
Michoacán de Ocampo,2015-02,35,Michoacán,01/02/2015,Michoacán
Morelos,2015-02,53,Morelos,01/02/2015,Morelos
Nayarit,2015-02,63,Nayarit,01/02/2015,Nayarit
Nuevo León,2015-02,85,Nuevo León,01/02/2015,Nuevo León
Oaxaca,2015-02,42,Oaxaca,01/02/2015,Oaxaca
Puebla,2015-02,50,Puebla,01/02/2015,Puebla
Querétaro,2015-02,21,Querétaro,01/02/2015,Querétaro
Quintana Roo,2015-02,80,Quintana Roo,01/02/2015,Quintana Roo
San Luis Potosí,2015-02,25,San Luis Potosí,01/02/2015,San Luis Potosí
Sinaloa,2015-02,70,Sinaloa,01/02/2015,Sinaloa
Sonora,2015-02,59,Sonora,01/02/2015,Sonora
Tabasco,2015-02,55,Tabasco,01/02/2015,Tabasco
Tamaulipas,2015-02,192,Tamaulipas,01/02/2015,Tamaulipas
Tlaxcala,2015-02,13,Tlaxcala,01/02/2015,Tlaxcala
Veracruz de Ignacio de la Llave,2015-02,74,Veracruz,01/02/2015,Veracruz
Yucatán,2015-02,48,Yucatán,01/02/2015,Yucatán
Zacatecas,2015-02,27,Zacatecas,01/02/2015,Zacatecas
Aguascalientes,2015-03,34,Aguascalientes,01/03/2015,Aguascalientes
Baja California,2015-03,379,Baja California,01/03/2015,Baja California
Baja California Sur,2015-03,88,Baja California Sur,01/03/2015,Baja California Sur
Campeche,2015-03,30,Campeche,01/03/2015,Campeche
Chiapas,2015-03,68,Chiapas,01/03/2015,Chiapas
Chihuahua,2015-03,55,Chihuahua,01/03/2015,Chihuahua
Coahuila de Zaragoza,2015-03,63,Coahuila,01/03/2015,Coahuila
Colima,2015-03,48,Colima,01/03/2015,Colima
Ciudad de México,2015-03,66,Ciudad de México,01/03/2015,Ciudad de México
Durango,2015-03,19,Durango,01/03/2015,Durango
México,2015-03,147,México,01/03/2015,Estado de México
Guanajuato,2015-03,19,Guanajuato,01/03/2015,Guanajuato
Guerrero,2015-03,48,Guerrero,01/03/2015,Guerrero
Hidalgo,2015-03,54,Hidalgo,01/03/2015,Hidalgo
Jalisco,2015-03,107,Jalisco,01/03/2015,Jalisco
Michoacán de Ocampo,2015-03,43,Michoacán,01/03/2015,Michoacán
Morelos,2015-03,44,Morelos,01/03/2015,Morelos
Nayarit,2015-03,47,Nayarit,01/03/2015,Nayarit
Nuevo León,2015-03,72,Nuevo León,01/03/2015,Nuevo León
Oaxaca,2015-03,41,Oaxaca,01/03/2015,Oaxaca
Puebla,2015-03,37,Puebla,01/03/2015,Puebla
Querétaro,2015-03,21,Querétaro,01/03/2015,Querétaro
Quintana Roo,2015-03,111,Quintana Roo,01/03/2015,Quintana Roo
San Luis Potosí,2015-03,25,San Luis Potosí,01/03/2015,San Luis Potosí
Sinaloa,2015-03,68,Sinaloa,01/03/2015,Sinaloa
Sonora,2015-03,54,Sonora,01/03/2015,Sonora
Tabasco,2015-03,103,Tabasco,01/03/2015,Tabasco
Tamaulipas,2015-03,155,Tamaulipas,01/03/2015,Tamaulipas
Tlaxcala,2015-03,21,Tlaxcala,01/03/2015,Tlaxcala
Veracruz de Ignacio de la Llave,2015-03,54,Veracruz,01/03/2015,Veracruz
Yucatán,2015-03,48,Yucatán,01/03/2015,Yucatán
Zacatecas,2015-03,30,Zacatecas,01/03/2015,Zacatecas
Aguascalientes,2015-04,43,Aguascalientes,01/04/2015,Aguascalientes
Baja California,2015-04,421,Baja California,01/04/2015,Baja California
Baja California Sur,2015-04,74,Baja California Sur,01/04/2015,Baja California Sur
Campeche,2015-04,31,Campeche,01/04/2015,Campeche
Chiapas,2015-04,53,Chiapas,01/04/2015,Chiapas
Chihuahua,2015-04,55,Chihuahua,01/04/2015,Chihuahua
Coahuila de Zaragoza,2015-04,72,Coahuila,01/04/2015,Coahuila
Colima,2015-04,32,Colima,01/04/2015,Colima
Ciudad de México,2015-04,92,Ciudad de México,01/04/2015,Ciudad de México
Durango,2015-04,16,Durango,01/04/2015,Durango
México,2015-04,83,México,01/04/2015,Estado de México
Guanajuato,2015-04,21,Guanajuato,01/04/2015,Guanajuato
Guerrero,2015-04,44,Guerrero,01/04/2015,Guerrero
Hidalgo,2015-04,24,Hidalgo,01/04/2015,Hidalgo
Jalisco,2015-04,93,Jalisco,01/04/2015,Jalisco
Michoacán de Ocampo,2015-04,39,Michoacán,01/04/2015,Michoacán
Morelos,2015-04,53,Morelos,01/04/2015,Morelos
Nayarit,2015-04,44,Nayarit,01/04/2015,Nayarit
Nuevo León,2015-04,48,Nuevo León,01/04/2015,Nuevo León
Oaxaca,2015-04,41,Oaxaca,01/04/2015,Oaxaca
Puebla,2015-04,41,Puebla,01/04/2015,Puebla
Querétaro,2015-04,16,Querétaro,01/04/2015,Querétaro
Quintana Roo,2015-04,111,Quintana Roo,01/04/2015,Quintana Roo
San Luis Potosí,2015-04,25,San Luis Potosí,01/04/2015,San Luis Potosí
Sinaloa,2015-04,62,Sinaloa,01/04/2015,Sinaloa
Sonora,2015-04,56,Sonora,01/04/2015,Sonora
Tabasco,2015-04,90,Tabasco,01/04/2015,Tabasco
